i	n-2	n-1	n
363	156.0901344800048	334.8808593358916	778.7920251583919
364	334.8808593358916	778.7920251583919	846.5108985919042
365	778.7920251583919	846.5108985919042	396.7381123647291
366	846.5108985919042	396.7381123647291	171.53488439077208
367	396.7381123647291	171.53488439077208	158.67722462100932
368	171.53488439077208	158.67722462100932	340.415996827248
369	158.67722462100932	340.415996827248	791.6290641538164
370	340.415996827248	791.6290641538164	860.425939047607
371	791.6290641538164	860.425939047607	403.24191953194503
372	860.425939047607	403.24191953194503	174.33922811755653
373	403.24191953194503	174.33922811755653	161.2643153849906
374	174.33922811755653	161.2643153849906	345.95113564066986
375	161.2643153849906	345.95113564066986	804.4661061905687
376	345.95113564066986	804.4661061905687	874.3409827734483
377	804.4661061905687	874.3409827734483	409.74572821531075
378	874.3409827734483	409.74572821531075	177.14357249283788
379	409.74572821531075	177.14357249283788	163.8514067424434
380	177.14357249283788	163.8514067424434	351.4862757137061
381	163.8514067424434	351.4862757137061	817.3031511253598
382	351.4862757137061	817.3031511253598	888.2560296157616
383	817.3031511253598	888.2560296157616	416.2495383437665
384	888.2560296157616	416.2495383437665	179.94791748630092
385	416.2495383437665	179.94791748630092	166.4384986656967
386	179.94791748630092	166.4384986656967	357.0214169877781
387	166.4384986656967	357.0214169877781	830.1401988237633
388	357.0214169877781	830.1401988237633	902.1710794303593
389	830.1401988237633	902.1710794303593	422.75334985062494
390	902.1710794303593	422.75334985062494	182.75226306949105
391	422.75334985062494	182.75226306949105	169.02559112877336
392	182.75226306949105	169.02559112877336	362.55655940788387
393	169.02559112877336	362.55655940788387	842.977249159539
394	362.55655940788387	842.977249159539	916.086132081813
395	842.977249159539	916.086132081813	429.25716267323946
396	916.086132081813	429.25716267323946	185.55660921567346
